process_id,event_type,event_time,user,executable_path,src_ip,dst_ip,src_port,dst_port,file_path,operation,registry_key,value_name,value_data
9280,process,2025-03-01 09:06:18,janedoe,C:/Program Files/notepad.exe,,,,,,,,,
5533,process,2025-03-01 09:52:38,johndoe,C:/Windows/System32/cmd.exe,,,,,,,,,
3647,process,2025-03-01 09:48:10,admin,C:/Program Files (x86)/excel.exe,,,,,,,,,
2832,process,2025-03-01 09:02:27,johndoe,C:/Windows/SysWOW64/excel.exe,,,,,,,,,
3426,process,2025-03-01 09:21:02,admin,C:/Windows/SysWOW64/notepad.exe,,,,,,,,,
6862,process,2025-03-01 09:24:08,janedoe,C:/Windows/SysWOW64/chrome.exe,,,,,,,,,
3532,process,2025-03-01 09:28:08,user1,C:/Windows/SysWOW64/explorer.exe,,,,,,,,,
6442,process,2025-03-01 09:18:12,admin,C:/Program Files (x86)/calc.exe,,,,,,,,,
7267,process,2025-03-01 09:13:37,janedoe,C:/Program Files (x86)/calc.exe,,,,,,,,,
6728,process,2025-03-01 09:01:36,user1,C:/Windows/SysWOW64/calc.exe,,,,,,,,,
7528,process,2025-03-01 09:52:47,johndoe,C:/Program Files/chrome.exe,,,,,,,,,
9346,process,2025-03-01 09:01:53,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/cmd.exe,,,,,,,,,
3925,process,2025-03-01 09:07:24,janedoe,C:/Program Files/notepad.exe,,,,,,,,,
6663,process,2025-03-01 09:41:23,admin,C:/Program Files/powershell.exe,,,,,,,,,
7311,process,2025-03-01 09:17:23,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/calc.exe,,,,,,,,,
1027,process,2025-03-01 09:24:51,admin,C:/Users/JohnDoe/AppData/Local/Programs/calc.exe,,,,,,,,,
6409,process,2025-03-01 09:49:08,johndoe,C:/Program Files/chrome.exe,,,,,,,,,
7691,process,2025-03-01 09:37:50,user1,C:/Program Files (x86)/svchost.exe,,,,,,,,,
7888,process,2025-03-01 09:38:51,janedoe,C:/Windows/SysWOW64/msedge.exe,,,,,,,,,
9977,process,2025-03-01 09:14:20,johndoe,C:/Program Files/svchost.exe,,,,,,,,,
8618,process,2025-03-01 09:34:53,user1,C:/Program Files (x86)/calc.exe,,,,,,,,,
2389,process,2025-03-01 09:22:52,user1,C:/Users/JohnDoe/AppData/Local/Programs/msedge.exe,,,,,,,,,
6085,process,2025-03-01 09:01:40,user1,C:/Windows/SysWOW64/explorer.exe,,,,,,,,,
8784,process,2025-03-01 09:42:59,user1,C:/Program Files (x86)/powershell.exe,,,,,,,,,
7291,process,2025-03-01 09:10:04,admin,C:/Program Files (x86)/calc.exe,,,,,,,,,
2746,process,2025-03-01 09:54:53,janedoe,C:/Windows/SysWOW64/explorer.exe,,,,,,,,,
1822,process,2025-03-01 09:31:09,janedoe,C:/Windows/SysWOW64/chrome.exe,,,,,,,,,
9702,process,2025-03-01 09:51:33,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/cmd.exe,,,,,,,,,
9976,process,2025-03-01 09:30:43,user1,C:/Windows/SysWOW64/winword.exe,,,,,,,,,
5543,process,2025-03-01 09:18:44,admin,C:/Program Files (x86)/calc.exe,,,,,,,,,
5681,process,2025-03-01 09:21:49,admin,C:/Program Files/cmd.exe,,,,,,,,,
3267,process,2025-03-01 09:47:22,user1,C:/Windows/SysWOW64/powershell.exe,,,,,,,,,
2052,process,2025-03-01 09:37:02,janedoe,C:/Program Files (x86)/cmd.exe,,,,,,,,,
2020,process,2025-03-01 09:52:33,admin,C:/Program Files (x86)/powershell.exe,,,,,,,,,
7232,process,2025-03-01 09:20:23,janedoe,C:/Windows/System32/cmd.exe,,,,,,,,,
7865,process,2025-03-01 09:15:03,user1,C:/Users/JohnDoe/AppData/Local/Programs/msedge.exe,,,,,,,,,
5471,process,2025-03-01 09:26:32,janedoe,C:/Program Files (x86)/notepad.exe,,,,,,,,,
3704,process,2025-03-01 09:36:27,janedoe,C:/Windows/SysWOW64/msedge.exe,,,,,,,,,
1444,process,2025-03-01 09:59:10,user1,C:/Program Files (x86)/explorer.exe,,,,,,,,,
1823,process,2025-03-01 09:14:26,johndoe,C:/Program Files (x86)/cmd.exe,,,,,,,,,
6529,process,2025-03-01 09:17:13,admin,C:/Program Files/powershell.exe,,,,,,,,,
8705,process,2025-03-01 09:23:53,admin,C:/Users/JohnDoe/AppData/Local/Programs/notepad.exe,,,,,,,,,
1659,process,2025-03-01 09:57:17,user1,C:/Windows/SysWOW64/calc.exe,,,,,,,,,
4908,process,2025-03-01 09:38:30,janedoe,C:/Program Files (x86)/chrome.exe,,,,,,,,,
5198,process,2025-03-01 09:41:27,admin,C:/Windows/SysWOW64/msedge.exe,,,,,,,,,
3683,process,2025-03-01 09:01:45,janedoe,C:/Windows/System32/msedge.exe,,,,,,,,,
7498,process,2025-03-01 09:40:25,user1,C:/Windows/SysWOW64/chrome.exe,,,,,,,,,
2669,process,2025-03-01 09:54:59,admin,C:/Program Files/msedge.exe,,,,,,,,,
6688,process,2025-03-01 09:04:42,johndoe,C:/Program Files (x86)/cmd.exe,,,,,,,,,
1207,process,2025-03-01 09:29:35,janedoe,C:/Program Files (x86)/chrome.exe,,,,,,,,,
3506,process,2025-03-01 09:44:24,janedoe,C:/Windows/SysWOW64/excel.exe,,,,,,,,,
8616,process,2025-03-01 09:22:00,user1,C:/Users/JohnDoe/AppData/Local/Programs/svchost.exe,,,,,,,,,
2419,process,2025-03-01 09:51:13,janedoe,C:/Program Files (x86)/calc.exe,,,,,,,,,
6511,process,2025-03-01 09:12:24,user1,C:/Program Files (x86)/cmd.exe,,,,,,,,,
6813,process,2025-03-01 09:40:41,johndoe,C:/Program Files/svchost.exe,,,,,,,,,
1166,process,2025-03-01 09:16:28,janedoe,C:/Windows/SysWOW64/chrome.exe,,,,,,,,,
9004,process,2025-03-01 09:44:05,janedoe,C:/Windows/SysWOW64/winword.exe,,,,,,,,,
8342,process,2025-03-01 09:20:05,janedoe,C:/Windows/System32/chrome.exe,,,,,,,,,
4986,process,2025-03-01 09:32:18,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/cmd.exe,,,,,,,,,
7971,process,2025-03-01 09:24:01,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/cmd.exe,,,,,,,,,
5438,process,2025-03-01 09:08:14,user1,C:/Program Files/calc.exe,,,,,,,,,
6169,process,2025-03-01 09:13:04,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/explorer.exe,,,,,,,,,
5530,process,2025-03-01 09:40:44,admin,C:/Users/JohnDoe/AppData/Local/Programs/excel.exe,,,,,,,,,
4180,process,2025-03-01 09:12:14,admin,C:/Windows/SysWOW64/cmd.exe,,,,,,,,,
9751,process,2025-03-01 09:03:43,johndoe,C:/Program Files/notepad.exe,,,,,,,,,
3068,process,2025-03-01 09:59:34,johndoe,C:/Program Files (x86)/chrome.exe,,,,,,,,,
8690,process,2025-03-01 09:12:35,johndoe,C:/Program Files (x86)/cmd.exe,,,,,,,,,
8827,process,2025-03-01 09:33:34,admin,C:/Windows/System32/powershell.exe,,,,,,,,,
3485,process,2025-03-01 09:05:48,admin,C:/Users/JohnDoe/AppData/Local/Programs/svchost.exe,,,,,,,,,
7818,process,2025-03-01 09:15:24,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/msedge.exe,,,,,,,,,
6003,process,2025-03-01 09:41:37,admin,C:/Users/JohnDoe/AppData/Local/Programs/notepad.exe,,,,,,,,,
4404,process,2025-03-01 09:45:05,user1,C:/Windows/SysWOW64/svchost.exe,,,,,,,,,
4929,process,2025-03-01 09:10:41,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/chrome.exe,,,,,,,,,
8381,process,2025-03-01 09:19:52,user1,C:/Users/JohnDoe/AppData/Local/Programs/winword.exe,,,,,,,,,
5720,process,2025-03-01 09:04:51,user1,C:/Program Files/winword.exe,,,,,,,,,
5334,process,2025-03-01 09:29:01,user1,C:/Users/JohnDoe/AppData/Local/Programs/calc.exe,,,,,,,,,
3441,process,2025-03-01 09:04:52,user1,C:/Program Files/explorer.exe,,,,,,,,,
6039,process,2025-03-01 09:29:58,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/svchost.exe,,,,,,,,,
5982,process,2025-03-01 09:34:09,janedoe,C:/Program Files (x86)/svchost.exe,,,,,,,,,
8172,process,2025-03-01 09:29:29,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/notepad.exe,,,,,,,,,
5102,process,2025-03-01 09:46:01,admin,C:/Windows/System32/calc.exe,,,,,,,,,
5415,process,2025-03-01 09:35:25,janedoe,C:/Windows/SysWOW64/winword.exe,,,,,,,,,
5557,process,2025-03-01 09:43:20,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/powershell.exe,,,,,,,,,
2494,process,2025-03-01 09:22:45,admin,C:/Program Files/powershell.exe,,,,,,,,,
3634,process,2025-03-01 09:19:40,janedoe,C:/Program Files (x86)/winword.exe,,,,,,,,,
1601,process,2025-03-01 09:17:13,admin,C:/Windows/System32/cmd.exe,,,,,,,,,
7622,process,2025-03-01 09:31:32,admin,C:/Windows/System32/excel.exe,,,,,,,,,
4073,process,2025-03-01 09:51:38,janedoe,C:/Program Files/msedge.exe,,,,,,,,,
1845,process,2025-03-01 09:08:56,janedoe,C:/Program Files/excel.exe,,,,,,,,,
8941,process,2025-03-01 09:54:33,user1,C:/Windows/System32/msedge.exe,,,,,,,,,
6091,process,2025-03-01 09:06:21,admin,C:/Users/JohnDoe/AppData/Local/Programs/powershell.exe,,,,,,,,,
8560,process,2025-03-01 09:48:55,johndoe,C:/Windows/SysWOW64/winword.exe,,,,,,,,,
7807,process,2025-03-01 09:31:10,user1,C:/Program Files (x86)/calc.exe,,,,,,,,,
7284,process,2025-03-01 09:50:56,admin,C:/Users/JohnDoe/AppData/Local/Programs/excel.exe,,,,,,,,,
5526,process,2025-03-01 09:18:14,admin,C:/Program Files/excel.exe,,,,,,,,,
5634,process,2025-03-01 09:45:03,user1,C:/Users/JohnDoe/AppData/Local/Programs/msedge.exe,,,,,,,,,
8316,process,2025-03-01 09:22:41,janedoe,C:/Program Files (x86)/cmd.exe,,,,,,,,,
8460,process,2025-03-01 09:39:02,user1,C:/Windows/SysWOW64/calc.exe,,,,,,,,,
7730,process,2025-03-01 09:48:08,janedoe,C:/Program Files/winword.exe,,,,,,,,,
7325,process,2025-03-01 09:08:37,johndoe,C:/Program Files (x86)/notepad.exe,,,,,,,,,
2644,process,2025-03-01 09:31:11,user1,C:/Windows/System32/excel.exe,,,,,,,,,
7717,process,2025-03-01 09:53:21,johndoe,C:/Windows/System32/winword.exe,,,,,,,,,
7512,process,2025-03-01 09:25:56,janedoe,C:/Program Files/excel.exe,,,,,,,,,
9864,process,2025-03-01 09:16:01,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/chrome.exe,,,,,,,,,
4727,process,2025-03-01 09:51:54,admin,C:/Program Files (x86)/chrome.exe,,,,,,,,,
8269,process,2025-03-01 09:03:08,admin,C:/Program Files/notepad.exe,,,,,,,,,
5806,process,2025-03-01 09:09:56,janedoe,C:/Program Files/powershell.exe,,,,,,,,,
3950,process,2025-03-01 09:41:36,janedoe,C:/Windows/SysWOW64/chrome.exe,,,,,,,,,
4945,process,2025-03-01 09:15:51,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/explorer.exe,,,,,,,,,
8529,process,2025-03-01 09:19:38,user1,C:/Windows/System32/winword.exe,,,,,,,,,
2210,process,2025-03-01 09:20:25,janedoe,C:/Program Files/msedge.exe,,,,,,,,,
5097,process,2025-03-01 09:26:15,janedoe,C:/Program Files/calc.exe,,,,,,,,,
2747,process,2025-03-01 09:24:30,johndoe,"C:/Program Files (x86)/msedge.exe,unexpected",,,,,,,,,
5837,process,2025-03-01 09:00:33,admin,C:/Program Files (x86)/svchost.exe,,,,,,,,,
9138,process,2025-03-01 09:54:44,user1,C:/Windows/SysWOW64/msedge.exe,,,,,,,,,
4115,process,2025-03-01 09:42:53,admin,C:/Program Files/explorer.exe,,,,,,,,,
6061,process,2025-03-01 09:24:54,user1,"C:/Windows/System32/msedge.exe,unexpected",,,,,,,,,
2476,process,2025-03-01 09:11:59,user1,C:/Program Files/powershell.exe,,,,,,,,,
9837,process,2025-03-01 09:18:36,user1,C:/Users/JohnDoe/AppData/Local/Programs/excel.exe,,,,,,,,,
5210,process,2025-03-01 09:54:54,janedoe,C:/Program Files/cmd.exe,,,,,,,,,
2233,process,2025-03-01 09:57:44,johndoe,C:/Windows/SysWOW64/powershell.exe,,,,,,,,,
2479,process,2025-03-01 09:36:37,janedoe,C:/Windows/System32/svchost.exe,,,,,,,,,
7038,process,2025-03-01 09:56:08,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/powershell.exe,,,,,,,,,
2775,process,2025-03-01 09:42:17,johndoe,C:/Program Files (x86)/notepad.exe,,,,,,,,,
4626,process,2025-03-01 09:47:51,janedoe,C:/Windows/System32/winword.exe,,,,,,,,,
2911,process,2025-03-01 09:20:46,admin,C:/Windows/System32/notepad.exe,,,,,,,,,
2592,process,2025-03-01 09:26:31,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/explorer.exe,,,,,,,,,
9850,process,2025-03-01 09:28:19,admin,C:/Users/JohnDoe/AppData/Local/Programs/explorer.exe,,,,,,,,,
9017,process,2025-03-01 09:02:14,johndoe,C:/Program Files (x86)/svchost.exe,,,,,,,,,
4559,process,2025-03-01 09:58:23,admin,C:/Program Files (x86)/calc.exe,,,,,,,,,
7018,process,2025-03-01 09:27:10,user1,C:/Program Files/notepad.exe,,,,,,,,,
3001,process,2025-03-01 09:43:48,admin,C:/Windows/System32/calc.exe,,,,,,,,,
1828,process,2025-03-01 09:53:43,user1,C:/Windows/SysWOW64/explorer.exe,,,,,,,,,
2124,process,2025-03-01 09:14:44,user1,C:/Windows/SysWOW64/msedge.exe,,,,,,,,,
6383,process,2025-03-01 09:18:55,user1,C:/Users/JohnDoe/AppData/Local/Programs/notepad.exe,,,,,,,,,
3129,process,2025-03-01 09:07:30,admin,C:/Program Files/explorer.exe,,,,,,,,,
3159,process,2025-03-01 09:40:11,admin,C:/Program Files/calc.exe,,,,,,,,,
3854,process,2025-03-01 09:50:38,admin,C:/Windows/System32/explorer.exe,,,,,,,,,
2041,process,2025-03-01 09:35:02,admin,C:/Program Files (x86)/cmd.exe,,,,,,,,,
8405,process,2025-03-01 09:02:57,johndoe,C:/Windows/SysWOW64/msedge.exe,,,,,,,,,
8504,process,2025-03-01 09:32:41,janedoe,C:/Windows/System32/notepad.exe,,,,,,,,,
7984,process,2025-03-01 09:48:37,admin,C:/Windows/System32/winword.exe,,,,,,,,,
2323,process,2025-03-01 09:04:29,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/explorer.exe,,,,,,,,,
9984,process,2025-03-01 09:40:46,johndoe,C:/Program Files/powershell.exe,,,,,,,,,
8433,process,2025-03-01 09:06:46,admin,C:/Users/JohnDoe/AppData/Local/Programs/powershell.exe,,,,,,,,,
4522,process,2025-03-01 09:28:14,janedoe,C:/Program Files (x86)/calc.exe,,,,,,,,,
7532,process,2025-03-01 09:29:08,johndoe,C:/Windows/System32/cmd.exe,,,,,,,,,
7132,process,2025-03-01 09:06:13,admin,C:/Program Files (x86)/chrome.exe,,,,,,,,,
2527,process,2025-03-01 09:55:25,admin,C:/Windows/System32/cmd.exe,,,,,,,,,
1842,process,2025-03-01 09:24:00,user1,C:/Users/JohnDoe/AppData/Local/Programs/svchost.exe,,,,,,,,,
3535,process,2025-03-01 09:57:50,johndoe,C:/Program Files (x86)/calc.exe,,,,,,,,,
7022,process,2025-03-01 09:15:26,janedoe,C:/Program Files/msedge.exe,,,,,,,,,
1430,process,2025-03-01 09:12:18,johndoe,C:/Program Files/notepad.exe,,,,,,,,,
6567,process,2025-03-01 09:59:22,janedoe,C:/Windows/System32/explorer.exe,,,,,,,,,
2140,process,2025-03-01 09:50:56,user1,C:/Windows/System32/chrome.exe,,,,,,,,,
7163,process,2025-03-01 09:10:44,johndoe,C:/Program Files (x86)/cmd.exe,,,,,,,,,
6314,process,2025-03-01 09:05:47,user1,C:/Users/JohnDoe/AppData/Local/Programs/msedge.exe,,,,,,,,,
3579,process,2025-03-01 09:46:00,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/notepad.exe,,,,,,,,,
8259,process,2025-03-01 09:41:26,janedoe,C:/Program Files (x86)/winword.exe,,,,,,,,,
5475,process,2025-03-01 09:23:33,admin,C:/Users/JohnDoe/AppData/Local/Programs/chrome.exe,,,,,,,,,
5640,process,2025-03-01 09:35:58,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/winword.exe,,,,,,,,,
1744,process,2025-03-01 09:03:44,user1,C:/Program Files (x86)/msedge.exe,,,,,,,,,
5938,process,2025-03-01 09:19:45,admin,C:/Windows/SysWOW64/svchost.exe,,,,,,,,,
1126,process,2025-03-01 09:08:49,user1,C:/Program Files (x86)/explorer.exe,,,,,,,,,
9196,process,2025-03-01 09:27:06,admin,C:/Program Files/chrome.exe,,,,,,,,,
8147,process,2025-03-01 09:58:51,janedoe,C:/Program Files (x86)/chrome.exe,,,,,,,,,
7626,process,2025-03-01 09:07:51,admin,C:/Program Files (x86)/svchost.exe,,,,,,,,,
6321,process,2025-03-01 09:56:47,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/winword.exe,,,,,,,,,
2443,process,2025-03-01 09:29:44,janedoe,C:/Windows/System32/calc.exe,,,,,,,,,
9584,process,2025-03-01 09:50:54,user1,C:/Program Files (x86)/svchost.exe,,,,,,,,,
6456,process,2025-03-01 09:34:50,admin,C:/Windows/SysWOW64/chrome.exe,,,,,,,,,
9693,process,2025-03-01 09:23:58,user1,C:/Windows/SysWOW64/cmd.exe,,,,,,,,,
4871,process,2025-03-01 09:13:28,user1,"C:/Windows/SysWOW64/svchost.exe,unexpected",,,,,,,,,
2234,process,2025-03-01 09:51:30,janedoe,C:/Program Files (x86)/winword.exe,,,,,,,,,
6295,process,2025-03-01 09:30:01,janedoe,C:/Program Files/explorer.exe,,,,,,,,,
8245,process,2025-03-01 09:40:22,johndoe,C:/Program Files/svchost.exe,,,,,,,,,
9312,process,2025-03-01 09:30:51,admin,C:/Program Files/winword.exe,,,,,,,,,
7041,process,2025-03-01 09:44:00,admin,C:/Program Files/chrome.exe,,,,,,,,,
9307,process,2025-03-01 09:37:50,admin,C:/Program Files (x86)/msedge.exe,,,,,,,,,
8368,process,2025-03-01 09:21:56,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/calc.exe,,,,,,,,,
9214,process,2025-03-01 09:07:03,johndoe,C:/Windows/System32/winword.exe,,,,,,,,,
2381,process,2025-03-01 09:16:54,janedoe,C:/Windows/SysWOW64/notepad.exe,,,,,,,,,
8199,process,2025-03-01 09:10:50,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/msedge.exe,,,,,,,,,
5634,process,2025-03-01 09:46:20,admin,C:/Program Files (x86)/cmd.exe,,,,,,,,,
6482,process,2025-03-01 09:38:05,janedoe,C:/Program Files/chrome.exe,,,,,,,,,
5655,process,2025-03-01 09:22:45,user1,C:/Users/JohnDoe/AppData/Local/Programs/explorer.exe,,,,,,,,,
6731,process,2025-03-01 09:40:37,admin,C:/Program Files (x86)/explorer.exe,,,,,,,,,
6072,process,2025-03-01 09:55:30,admin,C:/Program Files (x86)/cmd.exe,,,,,,,,,
7937,process,2025-03-01 09:24:45,user1,C:/Program Files/notepad.exe,,,,,,,,,
4509,process,2025-03-01 09:15:27,user1,C:/Program Files (x86)/calc.exe,,,,,,,,,
2264,process,2025-03-01 09:52:37,admin,C:/Windows/System32/excel.exe,,,,,,,,,
6517,process,2025-03-01 09:40:46,user1,C:/Users/JohnDoe/AppData/Local/Programs/explorer.exe,,,,,,,,,
3658,process,2025-03-01 09:49:13,admin,C:/Users/JohnDoe/AppData/Local/Programs/explorer.exe,,,,,,,,,
7731,process,2025-03-01 09:41:40,janedoe,C:/Windows/SysWOW64/winword.exe,,,,,,,,,
4833,process,2025-03-01 09:55:12,janedoe,C:/Windows/SysWOW64/svchost.exe,,,,,,,,,
4178,process,2025-03-01 09:31:31,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/winword.exe,,,,,,,,,
7256,process,2025-03-01 09:11:03,user1,C:/Users/JohnDoe/AppData/Local/Programs/powershell.exe,,,,,,,,,
3267,process,2025-03-01 09:43:46,johndoe,C:/Program Files/notepad.exe,,,,,,,,,
2680,process,2025-03-01 09:19:27,user1,C:/Users/JohnDoe/AppData/Local/Programs/chrome.exe,,,,,,,,,
5469,process,2025-03-01 09:56:43,admin,C:/Users/JohnDoe/AppData/Local/Programs/explorer.exe,,,,,,,,,
4637,process,2025-03-01 09:01:49,admin,C:/Program Files (x86)/cmd.exe,,,,,,,,,
7495,process,2025-03-01 09:26:21,johndoe,C:/Program Files/calc.exe,,,,,,,,,
4678,process,2025-03-01 09:57:17,johndoe,C:/Program Files/chrome.exe,,,,,,,,,
3392,process,2025-03-01 09:56:38,user1,C:/Windows/System32/svchost.exe,,,,,,,,,
8685,process,2025-03-01 09:05:24,johndoe,C:/Users/JohnDoe/AppData/Local/Programs/notepad.exe,,,,,,,,,
4533,process,2025-03-01 09:49:38,janedoe,C:/Windows/SysWOW64/excel.exe,,,,,,,,,
2821,process,2025-03-01 09:20:33,admin,C:/Program Files/calc.exe,,,,,,,,,
4906,process,2025-03-01 09:04:17,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/winword.exe,,,,,,,,,
9782,process,2025-03-01 09:16:30,user1,C:/Users/JohnDoe/AppData/Local/Programs/msedge.exe,,,,,,,,,
5772,process,2025-03-01 09:24:05,janedoe,C:/Windows/System32/msedge.exe,,,,,,,,,
4068,process,2025-03-01 09:04:37,admin,C:/Users/JohnDoe/AppData/Local/Programs/cmd.exe,,,,,,,,,
7397,process,2025-03-01 09:25:29,admin,C:/Windows/System32/powershell.exe,,,,,,,,,
6850,process,2025-03-01 09:50:02,admin,C:/Program Files/calc.exe,,,,,,,,,
6447,process,2025-03-01 09:37:16,user1,C:/Windows/System32/cmd.exe,,,,,,,,,
8612,process,2025-03-01 09:04:18,janedoe,C:/Windows/SysWOW64/explorer.exe,,,,,,,,,
1605,process,2025-03-01 09:54:00,admin,C:/Windows/SysWOW64/notepad.exe,,,,,,,,,
6170,process,2025-03-01 09:55:39,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/powershell.exe,,,,,,,,,
5150,process,2025-03-01 09:24:22,admin,C:/Windows/SysWOW64/svchost.exe,,,,,,,,,
6438,process,2025-03-01 09:29:49,janedoe,C:/Windows/System32/cmd.exe,,,,,,,,,
7334,process,2025-03-01 09:47:14,johndoe,C:/Windows/SysWOW64/winword.exe,,,,,,,,,
9507,process,2025-03-01 09:05:23,user1,C:/Windows/System32/powershell.exe,,,,,,,,,
9937,process,2025-03-01 09:05:27,johndoe,C:/Program Files/chrome.exe,,,,,,,,,
6021,process,2025-03-01 09:11:22,janedoe,C:/Users/JohnDoe/AppData/Local/Programs/powershell.exe,,,,,,,,,
6759,process,2025-03-01 09:41:58,johndoe,C:/Windows/System32/cmd.exe,,,,,,,,,
1939,process,2025-03-01 09:35:01,user1,C:/Program Files (x86)/cmd.exe,,,,,,,,,
1510,process,2025-03-01 09:02:22,admin,C:/Users/JohnDoe/AppData/Local/Programs/winword.exe,,,,,,,,,
4866,process,2025-03-01 09:38:43,user1,C:/Program Files/powershell.exe,,,,,,,,,
